City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ixtapa,20.7,-105.2,26.79,78,15,2.24,MX,1706828205
83,nuuk,64.1835,-51.7216,-14.64,93,100,3.48,GL,1706828205
84,tsagan aman,47.5639,46.7218,-0.34,87,100,6.05,RU,1706828205
85,tumpat,6.1978,102.171,23.99,94,20,0.0,MY,1706828205
86,tura,25.5198,90.2201,13.53,75,3,1.22,IN,1706828206
87,tosontsengel,48.7567,98.2839,-30.69,98,50,0.07,MN,1706828206
88,hit,33.6416,42.8251,9.27,58,80,5.83,IQ,1706828206
89,talnakh,69.4865,88.3972,-13.77,87,100,7.79,RU,1706828043
90,kapa'a,22.0752,-159.319,25.99,69,20,3.09,US,1706828142
91,ibipeba,-11.6408,-42.0111,23.21,57,74,3.25,BR,1706828206
92,brokopondo,4.75,-55.1667,27.84,56,100,3.12,SR,1706828206
93,luderitz,-26.6481,15.1594,21.15,80,45,5.61,NA,1706828206
94,ushuaia,-54.8,-68.3,16.79,50,40,14.4,AR,1706828206
95,oamaru,-45.0784,170.9801,15.77,91,100,2.34,NZ,1706828206
96,whitehorse,60.7161,-135.0538,-15.55,54,100,4.63,CA,1706828012
97,sumbawanga,-7.9667,31.6167,13.73,92,98,0.88,TZ,1706828206
98,polyarnyy,69.1989,33.4478,-0.17,88,98,15.49,RU,1706828206
99,altus,34.6381,-99.334,22.73,46,0,9.26,US,1706828207
100,big stone gap,36.8677,-82.7745,9.41,70,32,1.72,US,1706828207
101,mil'kovo,55.6078,37.7956,0.8,95,100,4.53,RU,1706828207
102,san patricio,28.017,-97.5169,23.97,65,61,5.85,US,1706828207
103,longyearbyen,78.2186,15.6401,-9.09,67,75,3.09,SJ,1706828025
104,kangiwa,12.5521,3.8187,22.72,18,6,4.5,NG,1706828207
105,arraial do cabo,-22.9661,-42.0278,25.92,89,75,1.54,BR,1706828207
106,dudinka,69.4058,86.1778,-13.54,91,100,11.04,RU,1706828207
107,blagoveshchensk,50.2667,127.5333,-22.66,59,0,1.0,RU,1706828207
108,fale old settlement,-9.3852,-171.2468,28.17,81,100,8.7,TK,1706828207
109,badger,64.8,-147.5333,-31.47,73,20,0.0,US,1706828207
110,alice springs,-23.7,133.8833,25.75,17,1,0.0,AU,1706828207
111,shingu,33.7333,135.9833,7.15,63,100,1.74,JP,1706828208
112,poxoreo,-15.8372,-54.3892,24.01,85,74,0.76,BR,1706828208
113,zavetnoye,47.1194,43.8903,0.36,83,99,6.41,RU,1706828208
114,ocean shores,46.9737,-124.1563,12.75,81,94,5.36,US,1706828208
115,ancud,-41.8697,-73.8203,16.96,83,100,2.31,CL,1706828208
116,okhotsk,59.3833,143.3,-21.38,83,100,3.02,RU,1706828208
117,queenstown,-31.8976,26.8753,17.25,95,48,1.1,ZA,1706828208
118,bestobe,52.4994,73.0975,-11.77,97,96,1.01,KZ,1706828208
119,agat village,13.3886,144.6585,27.42,83,20,7.72,GU,1706828208
120,nemuro,43.3236,145.575,-8.39,67,36,6.53,JP,1706828208
121,safi,32.1667,-8.8333,13.1,78,51,1.09,MA,1706828208
122,hadibu,12.65,54.0333,23.98,78,61,1.4,YE,1706828209
123,hithadhoo,-0.6,73.0833,27.77,76,59,3.83,MV,1706828209
124,gorontalo,0.5412,123.0595,25.39,92,62,0.95,ID,1706828209
125,armacao de buzios,-22.7469,-41.8817,26.03,88,99,2.79,BR,1706828209
126,ceeldheer,3.8488,47.1806,25.39,81,100,4.28,SO,1706828209
127,bakanas,44.8081,76.2772,-2.59,91,100,5.16,KZ,1706828209
128,khanty-mansiysk,61.0042,69.0019,-11.94,79,40,4.0,RU,1706828209
129,rikaze,29.25,88.8833,-5.85,47,0,1.8,CN,1706828209
130,kill devil hills,36.0307,-75.676,7.21,77,0,0.0,US,1706828062
